,method,score,metric
0,$\mathbb{R}^9$+SVD,91.04188604844259,AUC ADD-S
1,$\mathbb{R}^9$+SVD,95.07767991069852,<2cm
2,$\mathbb{R}^9$+SVD,91.3637847207741,AUC ADD-S
3,$\mathbb{R}^9$+SVD,94.59201274202522,<2cm
4,$\mathbb{R}^9$+SVD,91.08496590464102,AUC ADD-S
5,$\mathbb{R}^9$+SVD,94.61647270550057,<2cm
6,$\mathbb{R}^6$+GSO,91.3470127729485,AUC ADD-S
7,$\mathbb{R}^6$+GSO,94.19720889771384,<2cm
8,$\mathbb{R}^6$+GSO,91.42867218065841,AUC ADD-S
9,$\mathbb{R}^6$+GSO,94.3550012793383,<2cm
10,$\mathbb{R}^6$+GSO,90.77961308438314,AUC ADD-S
11,$\mathbb{R}^6$+GSO,95.43328935233129,<2cm
12,Quat$^+$,91.3210065650409,AUC ADD-S
13,Quat$^+$,95.46569600702125,<2cm
14,Quat$^+$,90.9166210514394,AUC ADD-S
15,Quat$^+$,94.20788355159773,<2cm
16,Quat$^+$,91.32054850636075,AUC ADD-S
17,Quat$^+$,94.56954022581728,<2cm
18,Euler,90.77298990957122,AUC ADD-S
19,Euler,92.94620768691362,<2cm
20,Euler,90.63536905144662,AUC ADD-S
21,Euler,93.23661241181223,<2cm
22,Euler,90.82663296670404,AUC ADD-S
23,Euler,93.52104289463712,<2cm
